file name	obj status	project	grant	lab	composite	data type	view	cell	localization	rna extract	replicate	data version	dcc accession	date submitted	date unrestricted	GEO sample accession	lab exp ID	bio rep	seq platform	table name	type	md5sum	size	url	line
wgEncodeRikenCageHchCellPapTssHmm.bedRnaElements.gz	NA	"wgEncodeRikenCageHchCellPapTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HCH; localization=cell; rnaExtract=longPolyA; readType=1x50; donorId=0011308.2P,8100808.2; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH002742; dateSubmitted=2012-03-30; dateUnrestricted=2012-12-30; subId=6736; geoSampleAccession=GSM979639; labExpId=CThi10104CTT,CThi10104ACA; bioRep=059WC,060WC; seqPlatform=Illumina_HiSeq_2000; tableName=wgEncodeRikenCageHchCellPapTssHmm; type=bedRnaElements; md5sum=f41c9e3635733556e5eebfe5b78cf7b9; size=982K"	Gingeras	RIKEN	wgEncodeRikenCage	Cage	TssHmm	HCH	cell	longPolyA	NA	ENCODE Mar 2012 Freeze	wgEncodeEH002742	2012-03-30	2012-12-30	GSM979639	CThi10104CTT,CThi10104ACA	059WC,060WC	Illumina_HiSeq_2000	wgEncodeRikenCageHchCellPapTssHmm	bedRnaElements	f41c9e3635733556e5eebfe5b78cf7b9	982K	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHchCellPapTssHmm.bedRnaElements.gz	"wgEncodeRikenCageHchCellPapTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HCH; localization=cell; rnaExtract=longPolyA; readType=1x50; donorId=0011308.2P,8100808.2; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH002742; dateSubmitted=2012-03-30; dateUnrestricted=2012-12-30; subId=6736; geoSampleAccession=GSM979639; labExpId=CThi10104CTT,CThi10104ACA; bioRep=059WC,060WC; seqPlatform=Illumina_HiSeq_2000; tableName=wgEncodeRikenCageHchCellPapTssHmm; type=bedRnaElements; md5sum=f41c9e3635733556e5eebfe5b78cf7b9; size=982K"
wgEncodeRikenCageHelas3CellPapTssHmm.bedRnaElements.gz	NA	"wgEncodeRikenCageHelas3CellPapTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HeLa-S3; localization=cell; rnaExtract=longPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001146; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5610; geoSampleAccession=GSM849342; labExpId=J80,J81; bioRep=011WC,012WC; labVersion=IDR; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageHelas3CellPapTssHmm; type=bedRnaElements; md5sum=3c9fa398b95e4deab207ceba9c866726; size=4.2M"	Gingeras	RIKEN	wgEncodeRikenCage	Cage	TssHmm	HeLa-S3	cell	longPolyA	NA	ENCODE Mar 2012 Freeze	wgEncodeEH001146	2012-02-10	2012-11-10	GSM849342	J80,J81	011WC,012WC; labVersion=IDR	Illumina_GA2x	wgEncodeRikenCageHelas3CellPapTssHmm	bedRnaElements	3c9fa398b95e4deab207ceba9c866726	4.2M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3CellPapTssHmm.bedRnaElements.gz	"wgEncodeRikenCageHelas3CellPapTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HeLa-S3; localization=cell; rnaExtract=longPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001146; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5610; geoSampleAccession=GSM849342; labExpId=J80,J81; bioRep=011WC,012WC; labVersion=IDR; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageHelas3CellPapTssHmm; type=bedRnaElements; md5sum=3c9fa398b95e4deab207ceba9c866726; size=4.2M"
wgEncodeRikenCageHelas3CytosolPamTssHmm.bedRnaElements.gz	NA	"wgEncodeRikenCageHelas3CytosolPamTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HeLa-S3; localization=cytosol; rnaExtract=longNonPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001155; dateSubmitted=2011-11-04; dateUnrestricted=2012-08-04; subId=5085; geoSampleAccession=GSM849360; labExpId=J56; bioRep=gen0121C; labVersion=IDR; type=bedRnaElements; md5sum=5f12a5131874544169d78864a0c7a75c; size=941K"	Gingeras	RIKEN	wgEncodeRikenCage	Cage	TssHmm	HeLa-S3	cytosol	longNonPolyA	NA	ENCODE Mar 2012 Freeze	wgEncodeEH001155	2011-11-04	2012-08-04	GSM849360	J56	"wgEncodeRikenCageHelas3CytosolPamTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HeLa-S3; localization=cytosol; rnaExtract=longNonPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001155; dateSubmitted=2011-11-04; dateUnrestricted=2012-08-04; subId=5085; geoSampleAccession=GSM849360; labExpId=J56; bioRep=gen0121C; labVersion=IDR; type=bedRnaElements; md5sum=5f12a5131874544169d78864a0c7a75c; size=941K"	"wgEncodeRikenCageHelas3CytosolPamTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HeLa-S3; localization=cytosol; rnaExtract=longNonPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001155; dateSubmitted=2011-11-04; dateUnrestricted=2012-08-04; subId=5085; geoSampleAccession=GSM849360; labExpId=J56; bioRep=gen0121C; labVersion=IDR; type=bedRnaElements; md5sum=5f12a5131874544169d78864a0c7a75c; size=941K"	"wgEncodeRikenCageHelas3CytosolPamTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HeLa-S3; localization=cytosol; rnaExtract=longNonPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001155; dateSubmitted=2011-11-04; dateUnrestricted=2012-08-04; subId=5085; geoSampleAccession=GSM849360; labExpId=J56; bioRep=gen0121C; labVersion=IDR; type=bedRnaElements; md5sum=5f12a5131874544169d78864a0c7a75c; size=941K"	bedRnaElements	5f12a5131874544169d78864a0c7a75c	941K	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3CytosolPamTssHmm.bedRnaElements.gz	"wgEncodeRikenCageHelas3CytosolPamTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HeLa-S3; localization=cytosol; rnaExtract=longNonPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001155; dateSubmitted=2011-11-04; dateUnrestricted=2012-08-04; subId=5085; geoSampleAccession=GSM849360; labExpId=J56; bioRep=gen0121C; labVersion=IDR; type=bedRnaElements; md5sum=5f12a5131874544169d78864a0c7a75c; size=941K"
wgEncodeRikenCageHelas3CytosolPamTssHmmV2.bedRnaElements.gz	NA	"wgEncodeRikenCageHelas3CytosolPamTssHmmV2.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HeLa-S3; localization=cytosol; rnaExtract=longNonPolyA; submittedDataVersion=V2 - Repacing . with -1 for missing data; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001155; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5609; geoSampleAccession=GSM849360; labExpId=J56; bioRep=gen0121C; tableName=wgEncodeRikenCageHelas3CytosolPamTssHmmV2; type=bedRnaElements; md5sum=a14bb23d9df2699d7f279074bd1032d0; size=944K"	Gingeras	RIKEN	wgEncodeRikenCage	Cage	TssHmm	HeLa-S3	cytosol	longNonPolyA	NA	ENCODE Mar 2012 Freeze	wgEncodeEH001155	2012-02-10	2012-11-10	GSM849360	J56	"wgEncodeRikenCageHelas3CytosolPamTssHmmV2.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HeLa-S3; localization=cytosol; rnaExtract=longNonPolyA; submittedDataVersion=V2 - Repacing . with -1 for missing data; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001155; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5609; geoSampleAccession=GSM849360; labExpId=J56; bioRep=gen0121C; tableName=wgEncodeRikenCageHelas3CytosolPamTssHmmV2; type=bedRnaElements; md5sum=a14bb23d9df2699d7f279074bd1032d0; size=944K"	"wgEncodeRikenCageHelas3CytosolPamTssHmmV2.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HeLa-S3; localization=cytosol; rnaExtract=longNonPolyA; submittedDataVersion=V2 - Repacing . with -1 for missing data; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001155; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5609; geoSampleAccession=GSM849360; labExpId=J56; bioRep=gen0121C; tableName=wgEncodeRikenCageHelas3CytosolPamTssHmmV2; type=bedRnaElements; md5sum=a14bb23d9df2699d7f279074bd1032d0; size=944K"	wgEncodeRikenCageHelas3CytosolPamTssHmmV2	bedRnaElements	a14bb23d9df2699d7f279074bd1032d0	944K	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3CytosolPamTssHmmV2.bedRnaElements.gz	"wgEncodeRikenCageHelas3CytosolPamTssHmmV2.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HeLa-S3; localization=cytosol; rnaExtract=longNonPolyA; submittedDataVersion=V2 - Repacing . with -1 for missing data; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001155; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5609; geoSampleAccession=GSM849360; labExpId=J56; bioRep=gen0121C; tableName=wgEncodeRikenCageHelas3CytosolPamTssHmmV2; type=bedRnaElements; md5sum=a14bb23d9df2699d7f279074bd1032d0; size=944K"
wgEncodeRikenCageHelas3CytosolPapTssHmm.bedRnaElements.gz	NA	"wgEncodeRikenCageHelas3CytosolPapTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HeLa-S3; localization=cytosol; rnaExtract=longPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001144; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5610; geoSampleAccession=GSM849330; labExpId=J87,J88; bioRep=011C,012C; labVersion=IDR; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageHelas3CytosolPapTssHmm; type=bedRnaElements; md5sum=c5254de3ecaa95be2021c22647c93923; size=3.5M"	Gingeras	RIKEN	wgEncodeRikenCage	Cage	TssHmm	HeLa-S3	cytosol	longPolyA	NA	ENCODE Mar 2012 Freeze	wgEncodeEH001144	2012-02-10	2012-11-10	GSM849330	J87,J88	011C,012C; labVersion=IDR	Illumina_GA2x	wgEncodeRikenCageHelas3CytosolPapTssHmm	bedRnaElements	c5254de3ecaa95be2021c22647c93923	3.5M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3CytosolPapTssHmm.bedRnaElements.gz	"wgEncodeRikenCageHelas3CytosolPapTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HeLa-S3; localization=cytosol; rnaExtract=longPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001144; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5610; geoSampleAccession=GSM849330; labExpId=J87,J88; bioRep=011C,012C; labVersion=IDR; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageHelas3CytosolPapTssHmm; type=bedRnaElements; md5sum=c5254de3ecaa95be2021c22647c93923; size=3.5M"
wgEncodeRikenCageHelas3NucleolusTotalTssHmm.bedRnaElements.gz	replaced - using -1 instead of . to represent missing data	wgEncode	Gingeras	RIKEN	wgEncodeRikenCage	Cage	TssHmm	HeLa-S3	nucleolus	total	NA	ENCODE Mar 2012 Freeze	wgEncodeEH001156	2011-11-04	2012-08-04	GSM849363	J58	"wgEncodeRikenCageHelas3NucleolusTotalTssHmm.bedRnaElements.gz	objStatus=replaced - using -1 instead of . to represent missing data; project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HeLa-S3; localization=nucleolus; rnaExtract=total; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001156; dateSubmitted=2011-11-04; dateUnrestricted=2012-08-04; subId=5083; geoSampleAccession=GSM849363; labExpId=J58; bioRep=gen0123NL; labVersion=IDR; type=bedRnaElements; md5sum=deb96e4d8a0a676cb6fed674a76ef8e7; size=889K"	"wgEncodeRikenCageHelas3NucleolusTotalTssHmm.bedRnaElements.gz	objStatus=replaced - using -1 instead of . to represent missing data; project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HeLa-S3; localization=nucleolus; rnaExtract=total; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001156; dateSubmitted=2011-11-04; dateUnrestricted=2012-08-04; subId=5083; geoSampleAccession=GSM849363; labExpId=J58; bioRep=gen0123NL; labVersion=IDR; type=bedRnaElements; md5sum=deb96e4d8a0a676cb6fed674a76ef8e7; size=889K"	"wgEncodeRikenCageHelas3NucleolusTotalTssHmm.bedRnaElements.gz	objStatus=replaced - using -1 instead of . to represent missing data; project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HeLa-S3; localization=nucleolus; rnaExtract=total; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001156; dateSubmitted=2011-11-04; dateUnrestricted=2012-08-04; subId=5083; geoSampleAccession=GSM849363; labExpId=J58; bioRep=gen0123NL; labVersion=IDR; type=bedRnaElements; md5sum=deb96e4d8a0a676cb6fed674a76ef8e7; size=889K"	bedRnaElements	deb96e4d8a0a676cb6fed674a76ef8e7	889K	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3NucleolusTotalTssHmm.bedRnaElements.gz	"wgEncodeRikenCageHelas3NucleolusTotalTssHmm.bedRnaElements.gz	objStatus=replaced - using -1 instead of . to represent missing data; project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HeLa-S3; localization=nucleolus; rnaExtract=total; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001156; dateSubmitted=2011-11-04; dateUnrestricted=2012-08-04; subId=5083; geoSampleAccession=GSM849363; labExpId=J58; bioRep=gen0123NL; labVersion=IDR; type=bedRnaElements; md5sum=deb96e4d8a0a676cb6fed674a76ef8e7; size=889K"
wgEncodeRikenCageHelas3NucleolusTotalTssHmmV2.bedRnaElements.gz	NA	"wgEncodeRikenCageHelas3NucleolusTotalTssHmmV2.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HeLa-S3; localization=nucleolus; rnaExtract=total; submittedDataVersion=V2 - Repacing . with -1 for missing data; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001156; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5609; geoSampleAccession=GSM849363; labExpId=J58; bioRep=gen0123NL; tableName=wgEncodeRikenCageHelas3NucleolusTotalTssHmmV2; type=bedRnaElements; md5sum=a0e3afe4f0962495f26c98c8cdad4cda; size=891K"	Gingeras	RIKEN	wgEncodeRikenCage	Cage	TssHmm	HeLa-S3	nucleolus	total	NA	ENCODE Mar 2012 Freeze	wgEncodeEH001156	2012-02-10	2012-11-10	GSM849363	J58	"wgEncodeRikenCageHelas3NucleolusTotalTssHmmV2.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HeLa-S3; localization=nucleolus; rnaExtract=total; submittedDataVersion=V2 - Repacing . with -1 for missing data; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001156; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5609; geoSampleAccession=GSM849363; labExpId=J58; bioRep=gen0123NL; tableName=wgEncodeRikenCageHelas3NucleolusTotalTssHmmV2; type=bedRnaElements; md5sum=a0e3afe4f0962495f26c98c8cdad4cda; size=891K"	"wgEncodeRikenCageHelas3NucleolusTotalTssHmmV2.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HeLa-S3; localization=nucleolus; rnaExtract=total; submittedDataVersion=V2 - Repacing . with -1 for missing data; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001156; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5609; geoSampleAccession=GSM849363; labExpId=J58; bioRep=gen0123NL; tableName=wgEncodeRikenCageHelas3NucleolusTotalTssHmmV2; type=bedRnaElements; md5sum=a0e3afe4f0962495f26c98c8cdad4cda; size=891K"	wgEncodeRikenCageHelas3NucleolusTotalTssHmmV2	bedRnaElements	a0e3afe4f0962495f26c98c8cdad4cda	891K	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3NucleolusTotalTssHmmV2.bedRnaElements.gz	"wgEncodeRikenCageHelas3NucleolusTotalTssHmmV2.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HeLa-S3; localization=nucleolus; rnaExtract=total; submittedDataVersion=V2 - Repacing . with -1 for missing data; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001156; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5609; geoSampleAccession=GSM849363; labExpId=J58; bioRep=gen0123NL; tableName=wgEncodeRikenCageHelas3NucleolusTotalTssHmmV2; type=bedRnaElements; md5sum=a0e3afe4f0962495f26c98c8cdad4cda; size=891K"
wgEncodeRikenCageHelas3NucleusPamTssHmm.bedRnaElements.gz	NA	"wgEncodeRikenCageHelas3NucleusPamTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HeLa-S3; localization=nucleus; rnaExtract=longNonPolyA; readType=1x36; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH002775; dateSubmitted=2012-03-30; dateUnrestricted=2012-12-30; subId=6718; geoSampleAccession=GSM979631; labExpId=CTig10028; bioRep=gen0163N; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageHelas3NucleusPamTssHmm; type=bedRnaElements; md5sum=546d06d9cbd57d8afeb22e394fce1122; size=1.3M"	Gingeras	RIKEN	wgEncodeRikenCage	Cage	TssHmm	HeLa-S3	nucleus	longNonPolyA	NA	ENCODE Mar 2012 Freeze	wgEncodeEH002775	2012-03-30	2012-12-30	GSM979631	CTig10028	gen0163N	Illumina_GA2x	wgEncodeRikenCageHelas3NucleusPamTssHmm	bedRnaElements	546d06d9cbd57d8afeb22e394fce1122	1.3M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3NucleusPamTssHmm.bedRnaElements.gz	"wgEncodeRikenCageHelas3NucleusPamTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HeLa-S3; localization=nucleus; rnaExtract=longNonPolyA; readType=1x36; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH002775; dateSubmitted=2012-03-30; dateUnrestricted=2012-12-30; subId=6718; geoSampleAccession=GSM979631; labExpId=CTig10028; bioRep=gen0163N; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageHelas3NucleusPamTssHmm; type=bedRnaElements; md5sum=546d06d9cbd57d8afeb22e394fce1122; size=1.3M"
wgEncodeRikenCageHelas3NucleusPapTssHmm.bedRnaElements.gz	NA	"wgEncodeRikenCageHelas3NucleusPapTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HeLa-S3; localization=nucleus; rnaExtract=longPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001145; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5610; geoSampleAccession=GSM849331; labExpId=J96,J97; bioRep=011N,012N; labVersion=IDR; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageHelas3NucleusPapTssHmm; type=bedRnaElements; md5sum=891e9deb6113746f742f5f433f839042; size=4.4M"	Gingeras	RIKEN	wgEncodeRikenCage	Cage	TssHmm	HeLa-S3	nucleus	longPolyA	NA	ENCODE Mar 2012 Freeze	wgEncodeEH001145	2012-02-10	2012-11-10	GSM849331	J96,J97	011N,012N; labVersion=IDR	Illumina_GA2x	wgEncodeRikenCageHelas3NucleusPapTssHmm	bedRnaElements	891e9deb6113746f742f5f433f839042	4.4M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3NucleusPapTssHmm.bedRnaElements.gz	"wgEncodeRikenCageHelas3NucleusPapTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HeLa-S3; localization=nucleus; rnaExtract=longPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001145; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5610; geoSampleAccession=GSM849331; labExpId=J96,J97; bioRep=011N,012N; labVersion=IDR; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageHelas3NucleusPapTssHmm; type=bedRnaElements; md5sum=891e9deb6113746f742f5f433f839042; size=4.4M"
wgEncodeRikenCageHepg2CellPapTssHmmV2.bedRnaElements.gz	NA	"wgEncodeRikenCageHepg2CellPapTssHmmV2.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HepG2; localization=cell; rnaExtract=longPolyA; submittedDataVersion=V2 - Filtered out the off end of chromosome reads; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001149; dateSubmitted=2011-12-09; dateUnrestricted=2012-09-09; subId=5147; geoSampleAccession=GSM849335; labExpId=K01,K02; bioRep=013WC,014WC; labVersion=IDR; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageHepg2CellPapTssHmmV2; type=bedRnaElements; md5sum=7f4369f9439d4874b8ca831ea97ca48e; size=7.1M"	Gingeras	RIKEN	wgEncodeRikenCage	Cage	TssHmm	HepG2	cell	longPolyA	NA	ENCODE Mar 2012 Freeze	wgEncodeEH001149	2011-12-09	2012-09-09	GSM849335	K01,K02	013WC,014WC; labVersion=IDR	Illumina_GA2x	wgEncodeRikenCageHepg2CellPapTssHmmV2	bedRnaElements	7f4369f9439d4874b8ca831ea97ca48e	7.1M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHepg2CellPapTssHmmV2.bedRnaElements.gz	"wgEncodeRikenCageHepg2CellPapTssHmmV2.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=HepG2; localization=cell; rnaExtract=longPolyA; submittedDataVersion=V2 - Filtered out the off end of chromosome reads; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001149; dateSubmitted=2011-12-09; dateUnrestricted=2012-09-09; subId=5147; geoSampleAccession=GSM849335; labExpId=K01,K02; bioRep=013WC,014WC; labVersion=IDR; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageHepg2CellPapTssHmmV2; type=bedRnaElements; md5sum=7f4369f9439d4874b8ca831ea97ca48e; size=7.1M"
