X__1	X__2	X__3	X__4	X__5	X__6	X__7	X__8	X__9	X__10	X__11	X__12	X__13	X__14	X__15	X__16
MCF-7	cell	Long PolyA- RNA	Junctions	NA	015WC,016WC	LID8824,LID8825	wgEncodeEH000183	GSM767851	Illumina Genome Analyzer IIx	4.6 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqMcf7CellPamJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqMcf7CellPamJunctions.bedRnaElements.gz
MCF-7	cell	Long PolyA+ RNA	Junctions	NA	015WC,016WC	LID8686,LID8687	wgEncodeEH000175	GSM765388	Illumina Genome Analyzer IIx	11 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqMcf7CellPapJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqMcf7CellPapJunctions.bedRnaElements.gz
Monocytes CD14+	cell	Long PolyA- RNA	Junctions	NA	039WC,040WC	LID44657,LID44658	wgEncodeEH002668	GSM981259	Illumina Genome Analyzer IIx	7.3 MB	bedRnaElements	2012-03-16T00:00:00Z	2012-12-16T00:00:00Z	wgEncodeCshlLongRnaSeqMonocd14CellPamJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqMonocd14CellPamJunctions.bedRnaElements.gz
Monocytes CD14+	cell	Long PolyA+ RNA	Junctions	NA	039WC,040WC	LID44594,LID44497	wgEncodeEH002672	GSM984609	Illumina Genome Analyzer IIx	9.5 MB	bedRnaElements	2012-03-16T00:00:00Z	2012-05-14T00:00:00Z	wgEncodeCshlLongRnaSeqMonocd14CellPapJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqMonocd14CellPapJunctions.bedRnaElements.gz
NHDF	cell	Total RNA	Junctions	NA	049WC,050WC	LID47247,LID47248	wgEncodeEH002677	GSM984612	Illumina HiSeq 2000	12 MB	bedRnaElements	2012-03-16T00:00:00Z	2012-12-16T00:00:00Z	wgEncodeCshlLongRnaSeqNhdfCellTotalJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqNhdfCellTotalJunctions.bedRnaElements.gz
NHEK	cell	Long PolyA- RNA	Junctions	NA	035WC	LID8830	wgEncodeEH000164	GSM765398	Illumina Genome Analyzer IIx	2.2 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqNhekCellPamJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqNhekCellPamJunctions.bedRnaElements.gz
NHEK	cell	Long PolyA+ RNA	Junctions	NA	035WC	LID8694	wgEncodeEH000167	GSM765401	Illumina Genome Analyzer IIx	5.4 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqNhekCellPapJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqNhekCellPapJunctions.bedRnaElements.gz
NHEM.f M2	cell	Total RNA	Junctions	NA	081WC,082WC	LID47256,LID47257	wgEncodeEH002686	GSM984616	Illumina HiSeq 2000	10 MB	bedRnaElements	2012-03-16T00:00:00Z	2012-12-16T00:00:00Z	wgEncodeCshlLongRnaSeqNhemfm2CellTotalJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqNhemfm2CellTotalJunctions.bedRnaElements.gz
NHEM M2	cell	Total RNA	Junctions	NA	083WC,084WC	LID47258,LID47259	wgEncodeEH002687	GSM984617	Illumina HiSeq 2000	9.0 MB	bedRnaElements	2012-03-16T00:00:00Z	2012-12-16T00:00:00Z	wgEncodeCshlLongRnaSeqNhemm2CellTotalJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqNhemm2CellTotalJunctions.bedRnaElements.gz
NHLF	cell	Long PolyA- RNA	Junctions	NA	033WC,034WC	LID8828,LID8829	wgEncodeEH000178	GSM765389	Illumina Genome Analyzer IIx	3.5 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqNhlfCellPamJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqNhlfCellPamJunctions.bedRnaElements.gz
NHLF	cell	Long PolyA+ RNA	Junctions	NA	033WC,034WC	LID8692,LID8701	wgEncodeEH000168	GSM765394	Illumina Genome Analyzer IIx	8.7 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqNhlfCellPapJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqNhlfCellPapJunctions.bedRnaElements.gz
SK-N-SH	cell	Long PolyA+ RNA	Junctions	NA	085WC,086WC	LID46598,LID46599	wgEncodeEH002632	GSM981253	Illumina HiSeq 2000	13 MB	bedRnaElements	2012-03-16T00:00:00Z	2012-05-14T00:00:00Z	wgEncodeCshlLongRnaSeqSknshCellPapJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqSknshCellPapJunctions.bedRnaElements.gz
SkMC	cell	Total RNA	Junctions	NA	047WC,048WC	LID47245,LID47246	wgEncodeEH002678	GSM984615	Illumina HiSeq 2000	12 MB	bedRnaElements	2012-03-16T00:00:00Z	2012-12-16T00:00:00Z	wgEncodeCshlLongRnaSeqSkmcCellTotalJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqSkmcCellTotalJunctions.bedRnaElements.gz
hMNC-PB	cell	Total RNA	Junctions	NA	077WC	LID47807	wgEncodeEH002878	GSM984606	Illumina HiSeq 2000	10 MB	bedRnaElements	2012-07-04T00:00:00Z	2013-04-04T00:00:00Z	wgEncodeCshlLongRnaSeqHmncpbCellTotalJunctionsV2	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHmncpbCellTotalJunctionsV2.bedRnaElements.gz
hMSC-AT	cell	Total RNA	Junctions	NA	065WC,066WC	LID47097,LID47098	wgEncodeEH002669	GSM981260	Illumina HiSeq 2000	11 MB	bedRnaElements	2012-03-16T00:00:00Z	2012-12-16T00:00:00Z	wgEncodeCshlLongRnaSeqHmscatCellTotalJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHmscatCellTotalJunctions.bedRnaElements.gz
hMSC-BM	cell	Total RNA	Junctions	NA	067WC,068WC	LID47099,LID47100	wgEncodeEH002673	GSM984608	Illumina HiSeq 2000	12 MB	bedRnaElements	2012-03-16T00:00:00Z	2012-12-16T00:00:00Z	wgEncodeCshlLongRnaSeqHmscbmCellTotalJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHmscbmCellTotalJunctions.bedRnaElements.gz
hMSC-UC	cell	Total RNA	Junctions	NA	069WC,070WC	LID47299,LID47300	wgEncodeEH002684	GSM984607	Illumina HiSeq 2000	9.9 MB	bedRnaElements	2012-03-16T00:00:00Z	2012-12-16T00:00:00Z	wgEncodeCshlLongRnaSeqHmscucCellTotalJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHmscucCellTotalJunctions.bedRnaElements.gz
