file name	project	grant	lab	composite	data type	view	cell	localization	rna extract	replicate	data version	dcc accession	date submitted	date unrestricted	GEO sample accession	lab exp ID	bio rep	seq platform	table name	type	md5sum	size	url
wgEncodeRikenCageA549CellPapTssGencV7.gtf.gz	wgEncode	Gingeras	RIKEN	wgEncodeRikenCage	Cage	TssGencV7	A549	cell	"wgEncodeRikenCageA549CellPapTssGencV7.gtf.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssGencV7; cell=A549; localization=cell; rnaExtract=longPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001158; dateSubmitted=2011-07-12; dateUnrestricted=2012-04-12; subId=4517; geoSampleAccession=GSM849359; labExpId=K16,K17; bioRep=021WC,022WC; seqPlatform=Illumina_GA2x; type=gtf; md5sum=52d88c27c4545855e132da2eeaecf85c; size=3.0M"	"wgEncodeRikenCageA549CellPapTssGencV7.gtf.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssGencV7; cell=A549; localization=cell; rnaExtract=longPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001158; dateSubmitted=2011-07-12; dateUnrestricted=2012-04-12; subId=4517; geoSampleAccession=GSM849359; labExpId=K16,K17; bioRep=021WC,022WC; seqPlatform=Illumina_GA2x; type=gtf; md5sum=52d88c27c4545855e132da2eeaecf85c; size=3.0M"	ENCODE Mar 2012 Freeze	wgEncodeEH001158	2011-07-12	2012-04-12	GSM849359; labExpId=K16,K17; bioRep=021WC,022WC; seqPlatform=Illumina_GA2x; type=gtf; md5sum=52d88c27c4545855e132da2eeaecf85c	K16,K17	021WC,022WC	"wgEncodeRikenCageA549CellPapTssGencV7.gtf.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssGencV7; cell=A549; localization=cell; rnaExtract=longPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001158; dateSubmitted=2011-07-12; dateUnrestricted=2012-04-12; subId=4517; geoSampleAccession=GSM849359; labExpId=K16,K17; bioRep=021WC,022WC; seqPlatform=Illumina_GA2x; type=gtf; md5sum=52d88c27c4545855e132da2eeaecf85c; size=3.0M"	"wgEncodeRikenCageA549CellPapTssGencV7.gtf.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssGencV7; cell=A549; localization=cell; rnaExtract=longPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001158; dateSubmitted=2011-07-12; dateUnrestricted=2012-04-12; subId=4517; geoSampleAccession=GSM849359; labExpId=K16,K17; bioRep=021WC,022WC; seqPlatform=Illumina_GA2x; type=gtf; md5sum=52d88c27c4545855e132da2eeaecf85c; size=3.0M"	gtf	52d88c27c4545855e132da2eeaecf85c	3.0M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CellPapTssGencV7.gtf.gz
wgEncodeRikenCageA549CellPapTssHmm.bedRnaElements.gz	wgEncode	Gingeras	RIKEN	wgEncodeRikenCage	Cage	TssHmm	A549	cell	"wgEncodeRikenCageA549CellPapTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=A549; localization=cell; rnaExtract=longPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001158; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5610; geoSampleAccession=GSM849359; labExpId=K16,K17; bioRep=021WC,022WC; labVersion=IDR; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageA549CellPapTssHmm; type=bedRnaElements; md5sum=7b0f3d45b0bc364e95bd918c835fdae5; size=1.7M"	"wgEncodeRikenCageA549CellPapTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=A549; localization=cell; rnaExtract=longPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001158; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5610; geoSampleAccession=GSM849359; labExpId=K16,K17; bioRep=021WC,022WC; labVersion=IDR; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageA549CellPapTssHmm; type=bedRnaElements; md5sum=7b0f3d45b0bc364e95bd918c835fdae5; size=1.7M"	ENCODE Mar 2012 Freeze	wgEncodeEH001158	2012-02-10	2012-11-10	GSM849359; labExpId=K16,K17; bioRep=021WC,022WC; labVersion=IDR; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageA549CellPapTssHmm; type=bedRnaElements; md5sum=7b0f3d45b0bc364e95bd918c835fdae5	K16,K17	021WC,022WC; labVersion=IDR	Illumina_GA2x	wgEncodeRikenCageA549CellPapTssHmm	bedRnaElements	7b0f3d45b0bc364e95bd918c835fdae5	1.7M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CellPapTssHmm.bedRnaElements.gz
wgEncodeRikenCageA549CytosolPapAlnRep3.bam	wgEncode	Gingeras	RIKEN	wgEncodeRikenCage	Cage	Alignments	A549	cytosol	longPolyA; readType=1x50	3	ENCODE Mar 2012 Freeze	wgEncodeEH002736	2012-03-30	2012-12-30	"wgEncodeRikenCageA549CytosolPapAlnRep3.bam	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=Alignments; cell=A549; localization=cytosol; rnaExtract=longPolyA; readType=1x50; replicate=3; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH002736; dateSubmitted=2012-03-30; dateUnrestricted=2012-12-30; subId=6657; labExpId=CThi10049; bioRep=087C; seqPlatform=Illumina_HiSeq_2000; tableName=wgEncodeRikenCageA549CytosolPapAlnRep3; type=bam; md5sum=9d7c580e8eea5c2b193070069f0b9e51; size=1.6G"	CThi10049	087C	Illumina_HiSeq_2000	wgEncodeRikenCageA549CytosolPapAlnRep3	bam	9d7c580e8eea5c2b193070069f0b9e51	1.6G	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CytosolPapAlnRep3.bam
wgEncodeRikenCageA549CytosolPapAlnRep3.bam.bai	wgEncode	Gingeras	RIKEN	wgEncodeRikenCage	Cage	Alignments	A549	cytosol	longPolyA; readType=1x50	3	ENCODE Mar 2012 Freeze	wgEncodeEH002736	2012-03-30	2012-12-30	"wgEncodeRikenCageA549CytosolPapAlnRep3.bam.bai	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=Alignments; cell=A549; localization=cytosol; rnaExtract=longPolyA; readType=1x50; replicate=3; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH002736; dateSubmitted=2012-03-30; dateUnrestricted=2012-12-30; subId=6657; labExpId=CThi10049; bioRep=087C; seqPlatform=Illumina_HiSeq_2000; tableName=wgEncodeRikenCageA549CytosolPapAlnRep3; type=bai; md5sum=46ed62f1350d8e9b3dd3a85f1f66d174; size=4.4M"	CThi10049	087C	Illumina_HiSeq_2000	wgEncodeRikenCageA549CytosolPapAlnRep3	bai	46ed62f1350d8e9b3dd3a85f1f66d174	4.4M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CytosolPapAlnRep3.bam.bai
wgEncodeRikenCageA549CytosolPapAlnRep4.bam	wgEncode	Gingeras	RIKEN	wgEncodeRikenCage	Cage	Alignments	A549	cytosol	longPolyA; readType=1x50	4	ENCODE Mar 2012 Freeze	wgEncodeEH002736	2012-03-30	2012-12-30	"wgEncodeRikenCageA549CytosolPapAlnRep4.bam	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=Alignments; cell=A549; localization=cytosol; rnaExtract=longPolyA; readType=1x50; replicate=4; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH002736; dateSubmitted=2012-03-30; dateUnrestricted=2012-12-30; subId=6688; labExpId=CThi10059; bioRep=088C; seqPlatform=Illumina_HiSeq_2000; tableName=wgEncodeRikenCageA549CytosolPapAlnRep4; type=bam; md5sum=cd4e783624d01398f8f1ac961770b60f; size=2.1G"	CThi10059	088C	Illumina_HiSeq_2000	wgEncodeRikenCageA549CytosolPapAlnRep4	bam	cd4e783624d01398f8f1ac961770b60f	2.1G	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CytosolPapAlnRep4.bam
wgEncodeRikenCageA549CytosolPapAlnRep4.bam.bai	wgEncode	Gingeras	RIKEN	wgEncodeRikenCage	Cage	Alignments	A549	cytosol	longPolyA; readType=1x50	4	ENCODE Mar 2012 Freeze	wgEncodeEH002736	2012-03-30	2012-12-30	"wgEncodeRikenCageA549CytosolPapAlnRep4.bam.bai	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=Alignments; cell=A549; localization=cytosol; rnaExtract=longPolyA; readType=1x50; replicate=4; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH002736; dateSubmitted=2012-03-30; dateUnrestricted=2012-12-30; subId=6688; labExpId=CThi10059; bioRep=088C; seqPlatform=Illumina_HiSeq_2000; tableName=wgEncodeRikenCageA549CytosolPapAlnRep4; type=bai; md5sum=9554cc029f1fb1aff7ecd492bbc627a1; size=4.4M"	CThi10059	088C	Illumina_HiSeq_2000	wgEncodeRikenCageA549CytosolPapAlnRep4	bai	9554cc029f1fb1aff7ecd492bbc627a1	4.4M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CytosolPapAlnRep4.bam.bai
wgEncodeRikenCageA549CytosolPapMinusRawRep3.bigWig	wgEncode	Gingeras	RIKEN	wgEncodeRikenCage	Cage	MinusSignal	A549	cytosol	longPolyA; readType=1x50	3	ENCODE Mar 2012 Freeze	wgEncodeEH002736	2012-03-30	2012-12-30	GSM979632; labExpId=CThi10049; bioRep=087C; seqPlatform=Illumina_HiSeq_2000; tableName=wgEncodeRikenCageA549CytosolPapMinusRawRep3; type=bigWig; md5sum=7a79e9bc5f9edf7308728252d3bf6e11	CThi10049	087C	Illumina_HiSeq_2000	wgEncodeRikenCageA549CytosolPapMinusRawRep3	bigWig	7a79e9bc5f9edf7308728252d3bf6e11	26M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CytosolPapMinusRawRep3.bigWig
wgEncodeRikenCageA549CytosolPapMinusRawRep4.bigWig	wgEncode	Gingeras	RIKEN	wgEncodeRikenCage	Cage	MinusSignal	A549	cytosol	longPolyA; readType=1x50	4	ENCODE Mar 2012 Freeze	wgEncodeEH002736	2012-03-30	2012-12-30	GSM979632; labExpId=CThi10059; bioRep=088C; seqPlatform=Illumina_HiSeq_2000; tableName=wgEncodeRikenCageA549CytosolPapMinusRawRep4; type=bigWig; md5sum=d5408590ab9ea722a02563e50cae78c3	CThi10059	088C	Illumina_HiSeq_2000	wgEncodeRikenCageA549CytosolPapMinusRawRep4	bigWig	d5408590ab9ea722a02563e50cae78c3	26M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CytosolPapMinusRawRep4.bigWig
wgEncodeRikenCageA549CytosolPapPlusRawRep3.bigWig	wgEncode	Gingeras	RIKEN	wgEncodeRikenCage	Cage	PlusSignal	A549	cytosol	longPolyA; readType=1x50	3	ENCODE Mar 2012 Freeze	wgEncodeEH002736	2012-03-30	2012-12-30	GSM979632; labExpId=CThi10049; bioRep=087C; seqPlatform=Illumina_HiSeq_2000; tableName=wgEncodeRikenCageA549CytosolPapPlusRawRep3; type=bigWig; md5sum=274bdd7e673e0c29c0981e389c661dcd	CThi10049	087C	Illumina_HiSeq_2000	wgEncodeRikenCageA549CytosolPapPlusRawRep3	bigWig	274bdd7e673e0c29c0981e389c661dcd	25M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CytosolPapPlusRawRep3.bigWig
wgEncodeRikenCageA549CytosolPapPlusRawRep4.bigWig	wgEncode	Gingeras	RIKEN	wgEncodeRikenCage	Cage	PlusSignal	A549	cytosol	longPolyA; readType=1x50	4	ENCODE Mar 2012 Freeze	wgEncodeEH002736	2012-03-30	2012-12-30	GSM979632; labExpId=CThi10059; bioRep=088C; seqPlatform=Illumina_HiSeq_2000; tableName=wgEncodeRikenCageA549CytosolPapPlusRawRep4; type=bigWig; md5sum=e14de5dee4e2a0c8c5ea6688dcaf9a4d	CThi10059	088C	Illumina_HiSeq_2000	wgEncodeRikenCageA549CytosolPapPlusRawRep4	bigWig	e14de5dee4e2a0c8c5ea6688dcaf9a4d	26M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CytosolPapPlusRawRep4.bigWig
wgEncodeRikenCageA549CytosolPapRawDataRep3.fastq.gz	wgEncode	Gingeras	RIKEN	wgEncodeRikenCage	Cage	RawData	A549	cytosol	longPolyA; readType=1x50	3	ENCODE Mar 2012 Freeze	wgEncodeEH002736	2012-03-28	2012-12-28	GSM979632; labExpId=CThi10049; bioRep=087C; seqPlatform=Illumina_HiSeq_2000; type=fastq; md5sum=9208e5ee1887657ac8d5a1416f3078a1	CThi10049	087C	"wgEncodeRikenCageA549CytosolPapRawDataRep3.fastq.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=RawData; cell=A549; localization=cytosol; rnaExtract=longPolyA; readType=1x50; replicate=3; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH002736; dateSubmitted=2012-03-28; dateUnrestricted=2012-12-28; subId=6434; geoSampleAccession=GSM979632; labExpId=CThi10049; bioRep=087C; seqPlatform=Illumina_HiSeq_2000; type=fastq; md5sum=9208e5ee1887657ac8d5a1416f3078a1; size=2.4G"	"wgEncodeRikenCageA549CytosolPapRawDataRep3.fastq.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=RawData; cell=A549; localization=cytosol; rnaExtract=longPolyA; readType=1x50; replicate=3; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH002736; dateSubmitted=2012-03-28; dateUnrestricted=2012-12-28; subId=6434; geoSampleAccession=GSM979632; labExpId=CThi10049; bioRep=087C; seqPlatform=Illumina_HiSeq_2000; type=fastq; md5sum=9208e5ee1887657ac8d5a1416f3078a1; size=2.4G"	fastq	9208e5ee1887657ac8d5a1416f3078a1	2.4G	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CytosolPapRawDataRep3.fastq.gz
